Number of days: 1289

{
  upLessThanOne: 214 | 16.6%,
  upOneToThree: 245 | 19%,
  upThreeToFive: 112 | 8.69%,
  upFivetoTen: 89 | 6.9%,
  upmoreThenTen: 32 | 2.48%,
  downLessThanOne: 215 | 16.68%,
  downOneToThree: 190 | 14.74%,
  downThreeToFive: 89 | 6.9%,
  downFivetoTen: 85 | 6.59%,
  downmoreThenTen: 20 | 1.55%,
  didNotChange: 2 | 0.16%
}

August 17 2017: 0.55%,
August 18 2017: -4.12%,
August 19 2017: 0.77%,
August 20 2017: -0.84%,
August 21 2017: -1.31%,
August 22 2017: 0.60%,
August 23 2017: 1.83%,
August 24 2017: 4.08%,
August 25 2017: -0.82%,
August 26 2017: 1.33%,
August 27 2017: -0.52%,
August 28 2017: 1.78%,
August 29 2017: 5.37%,
August 30 2017: -0.21%,
August 31 2017: 3.73%,
September 1 2017: 3.09%,
September 2 2017: -6.76%,
September 3 2017: 0.01%,
September 4 2017: -8.99%,
September 5 2017: 6.32%,
September 6 2017: 5.80%,
September 7 2017: 1.56%,
September 8 2017: -8.71%,
September 9 2017: -0.56%,
September 10 2017: -3.02%,
September 11 2017: 1.32%,
September 12 2017: -1.07%,
September 13 2017: -5.17%,
September 14 2017: -19.14%,
September 15 2017: 16.06%,
September 16 2017: 1.11%,
September 17 2017: 0.40%,
September 18 2017: 9.35%,
September 19 2017: -3.69%,
September 20 2017: -0.26%,
September 21 2017: -7.20%,
September 22 2017: 0.08%,
September 23 2017: 5.12%,
September 24 2017: -3.16%,
September 25 2017: 7.12%,
September 26 2017: -1.16%,
September 27 2017: 8.00%,
September 28 2017: -0.42%,
September 29 2017: -0.10%,
September 30 2017: 4.87%,
October 1 2017: -0.00%,
October 2 2017: -0.45%,
October 3 2017: -1.60%,
October 4 2017: -2.46%,
October 5 2017: 1.99%,
October 6 2017: 1.16%,
October 7 2017: 1.24%,
October 8 2017: 4.86%,
October 9 2017: 3.17%,
October 10 2017: -0.08%,
October 11 2017: 0.80%,
October 12 2017: 12.62%,
October 13 2017: 3.86%,
October 14 2017: 3.89%,
October 15 2017: -2.48%,
October 16 2017: 0.88%,
October 17 2017: -2.86%,
October 18 2017: -1.48%,
October 19 2017: 3.10%,
October 20 2017: 5.75%,
October 21 2017: 0.19%,
October 22 2017: -0.89%,
October 23 2017: -0.99%,
October 24 2017: -7.32%,
October 25 2017: 3.32%,
October 26 2017: 3.38%,
October 27 2017: -1.59%,
October 28 2017: -0.85%,
October 29 2017: 8.06%,
October 30 2017: -0.20%,
October 31 2017: 5.60%,
November 1 2017: 4.50%,
November 2 2017: 3.94%,
November 3 2017: 1.49%,
November 4 2017: 3.40%,
November 5 2017: -0.17%,
November 6 2017: -5.24%,
November 7 2017: 1.18%,
November 8 2017: 3.30%,
November 9 2017: -3.05%,
November 10 2017: -8.08%,
November 11 2017: -3.97%,
November 12 2017: -6.95%,
November 13 2017: 10.72%,
November 14 2017: 1.69%,
November 15 2017: 10.10%,
November 16 2017: 8.62%,
November 17 2017: -2.26%,
November 18 2017: 1.07%,
November 19 2017: 3.56%,
November 20 2017: 1.92%,
November 21 2017: -1.13%,
November 22 2017: 1.42%,
